id,wave,vd,vi,cov
2DvnoJ,1,0,1,7
2DvnoJ,2,0,0,8
2DvnoJ,3,0,1,7
2DvnzW,1,0,0,5
2DvnzW,2,2,1,10
2DvnzW,3,2,0,8
2DZAPz,1,0,3,3
2DZAPz,2,0,4,2
2DZAPz,3,0,4,4
2DZbZv,1,0,1,0
2DZbZv,2,0,2,0
2DZbZv,3,0,0,0
2DZGwR,1,0,4,6
2DZGwR,2,0,4,5
2DZGwR,3,0,4,4
2DZmWR,1,0,4,4
2DZmWR,2,0,2,9
2DZmWR,3,1,4,9
2j1GDw,1,0,4,10
2j1GDw,2,0,0,2
2j1GDw,3,0,3,0
2j1GNx,1,0,6,10
2j1GNx,2,0,4,11
2j1GNx,3,0,4,6
2J3m5m,1,NA,3,20
2J3m5m,2,NA,0,15
2J3m5m,3,0,3,24
2J3MN6,1,0,0,15
2J3MN6,2,0,0,14
2J3MN6,3,2,0,19
2J3Q9m,1,0,0,0
2J3Q9m,2,0,0,0
2J3Q9m,3,0,0,0
2J3Qoj,1,0,3,5
2J3Qoj,2,0,0,2
2J3Qoj,3,0,4,0
2j9BqV,1,0,0,0
2j9BqV,2,0,6,21
2j9BqV,3,0,0,0
2j9gkl,1,0,0,7
2j9gkl,2,0,1,6
2j9gkl,3,0,0,3
2j9gr3,1,2,3,8
2j9gr3,2,2,3,8
2j9gr3,3,2,3,16
2j9KBx,1,0,1,0
2j9KBx,2,0,0,0
2j9KBx,3,0,1,0
2j9Ry4,1,0,0,6
2j9Ry4,2,0,0,1
2j9Ry4,3,0,0,2
2jA4aj,1,0,6,0
2jA4aj,2,0,1,6
2jA4aj,3,0,3,0
2Ja6Pm,1,0,0,1
2Ja6Pm,2,0,1,3
2Ja6Pm,3,0,0,3
2jA9A3,1,0,4,8
2jA9A3,2,0,4,6
2jA9A3,3,0,4,4
2JaEGx,1,0,2,20
2JaEGx,2,0,2,19
2JaEGx,3,0,3,21
2JaEmG,1,0,4,4
2JaEmG,2,0,4,16
2JaEmG,3,0,5,5
2JagBQ,1,0,1,1
2JagBQ,2,NA,NA,NA
2JagBQ,3,NA,NA,NA
2jAOdj,1,0,1,7
2jAOdj,2,0,1,7
2jAOdj,3,0,2,3
2Jaoqb,1,0,1,4
2Jaoqb,2,0,1,5
2Jaoqb,3,0,2,4
2JaPxN,1,0,0,1
2JaPxN,2,0,1,0
2JaPxN,3,0,0,2
2JapZa,1,0,0,0
2JapZa,2,0,0,0
2JapZa,3,0,0,0
2JaR0B,1,0,1,7
2JaR0B,2,0,4,10
2JaR0B,3,0,3,9
2JaR1j,1,0,4,5
2JaR1j,2,0,4,6
2JaR1j,3,0,1,4
2JaRnZ,1,0,1,0
2JaRnZ,2,0,1,3
2JaRnZ,3,NA,NA,NA
2JaRoa,1,0,4,3
2JaRoa,2,0,2,0
2JaRoa,3,0,1,1
2JaRqB,1,0,0,0
2JaRqB,2,NA,NA,NA
2JaRqB,3,0,1,1
2jARQj,1,0,1,1
2jARQj,2,0,0,0
2jARQj,3,0,0,1
2JaRWb,1,0,0,3
2JaRWb,2,0,4,2
2JaRWb,3,0,2,3
2JaxjZ,1,0,6,0
2JaxjZ,2,0,6,0
2JaxjZ,3,0,3,1
2JaYr6,1,1,6,19
2JaYr6,2,0,2,14
2JaYr6,3,1,2,14
2Jayzm,1,0,3,0
